Braking&chain sets,34,DMNSGEC19003,Brake handle （Left),,Right brake Handle,22.1,
,35,DMNSGEC19004,Brake handle （Right ),,Right brake Handle,22.1,
,36,DMNSGEC19001,Front brake,,"Four-Piston, Monoblock Caliper:L1.18m,",176.1044776,270.9299656
,37,DMNSGEC19002,Rear brake,,"Four-Piston, Monoblock Caliper:L1.62m,",177.4776119,273.0424799
,38,DMNSGSM09001,Disc pad,,"Φ240*3.0,QW-P2669",17.50746269,26.93455798
,39,DMNSGSM07002,Flywheel,,520*13T ,6.350746269,9.770378875
,40,DMGP03001,Brake Pad,,EP-59-4.0 、 one set ,18.16,
,41,DMNSGSM07001,Rear Sprocket,,520*52T,26.26119403,40.40183697
,42,DMNSGSM08001,Chain,,"520 Chain, 108 Links",44.28358209,68.12858783
,43,PL020001,Shaft Sprocket,,"Φ38,W:24,8mm Shaft Hole",3.089552239,4.75315729
