Тормоза и цепь,34,DMNSGEC19003,Ручка тормоза (левая),,"Правая тормозная ручка",22.1,
,35,DMNSGEC19004,Ручка тормоза (правая),,"Правая тормозная ручка",22.1,
,36,DMNSGEC19001,Тормоз передний,,"4-поршневой моноблочный суппорт, L1.18м",176.1044776,270.9299656
,37,DMNSGEC19002,Тормоз задний,,"4-поршневой моноблочный суппорт, L1.62м",177.4776119,273.0424799
,38,DMNSGSM09001,Тормозные колодки (диск),,"⌀240*3.0, QW-P2669",17.50746269,26.93455798
,39,DMNSGSM07002,Маховик,,520*13T,6.350746269,9.770378875
,40,DMGP03001,Тормозные колодки,,"EP-59-4.0, комплект",18.16,
,41,DMNSGSM07001,Звезда задняя,,520*52T,26.26119403,40.40183697
,42,DMNSGSM08001,Цепь,,"Цепь 520, 108 звеньев",44.28358209,68.12858783
,43,PL020001,Звёздочка вала,,"⌀38, W:24, отверстие под вал 8мм",3.089552239,4.75315729
