Подвеска,123,DMNSGSM04001,Передняя подвеска,,"комплект передней подвески FASTACE, серебристый",540.5,831.5384615
,124,DMNSGSM04003,Передняя подвеска,,"комплект передней подвески FASTACE, золотистый",540.5,831.5384615
,125,DMNSGSM040004,Верхняя траверса вилки,,золотистый,25.57462687,39.34557979
,126,DMNSGSM040005,Верхняя траверса вилки,,серебристый,25.57462687,39.34557979
,127,DMNSGSM040006,Нижняя траверса вилки + рулевая колонка,,золотистый,38.79104478,59.67853042
,128,DMNSGSM040007,Нижняя траверса вилки + рулевая колонка,,серебристый,38.79104478,59.67853042
,129,DMNSGSM040008,Верхняя гайка рулевой колонки,,для передней подвески,5.149253731,7.921928817
,130,DMNSGSM040009,Винты верхней траверсы вилки,,для передней подвески,3.947761194,6.07347876
,131,DMNSGSM040010,Перо вилки (труба),,для передней подвески,18.70895522,28.78300804
,132,DMNSGSM040011,Винт пера вилки,,для передней подвески,3.947761194,6.07347876
,133,DMNSGSM04002,Задний амортизатор,,FASTACE BFA59RC,325.0895522,500.1377727
,134,DMNSGSM14003,Замок крышки аккумулятора,,нерж. сталь 304,3.089552239,4.75315729
